fecha_registro,id_planta,id_maquina,id_formula,numero_orden,corriente,temp_acond,presion_vapor,vapor,porcentaje_vapor,tiempo_proceso,retornando,humedad_real,durabilidad_real,kw_h_proceso
2026-03-21 23:14:11.874388,1,301,3360,61984,324.8,77.4,7.6,-24,38,17,1,13.3,96.4,109.8
2026-03-21 23:15:11.874388,1,301,3360,61984,331.5,75.8,7.1,-25,40,18,1,13.5,96.1,110.2
2026-03-21 23:16:11.874388,1,301,3360,61984,338.9,74.2,6.7,-27,43,19,1,13.8,95.6,110.7
2026-03-21 23:17:11.874388,1,301,3360,61984,328.7,78.9,7.9,-23,36,20,0,13.1,96.5,109.9
2026-03-21 23:18:11.874388,1,301,3360,61984,316.4,82.6,8.6,-20,31,21,0,12.9,97.0,109.1
2026-03-21 23:19:11.874388,1,301,3360,61984,309.2,84.4,9.7,-18,28,22,0,12.8,97.4,108.6
2026-03-21 23:20:11.874388,1,301,3360,61984,305.9,85.2,10.4,-18,28,23,0,12.8,97.6,108.3
2026-03-21 23:21:11.874388,1,301,3360,61984,311.8,86.1,11.0,-18,29,24,0,12.7,97.7,108.7
2026-03-21 23:22:11.874388,1,301,3360,61984,329.6,212.0,20.6,-12,48,25,0,12.5,97.1,110.1
2026-03-21 23:23:11.874388,1,301,3360,61984,341.3,249.8,24.2,-10,55,26,0,12.4,96.8,110.9
2026-03-21 23:24:11.874388,1,301,3360,61984,354.7,286.4,27.3,-8,61,27,1,12.2,96.2,111.8
2026-03-21 23:25:11.874388,1,301,3360,61984,362.4,302.1,29.0,-7,65,28,1,12.0,95.8,112.5
2026-03-21 23:26:11.874388,1,301,3360,61984,346.8,260.5,24.4,-11,54,29,0,12.3,96.6,111.1
2026-03-21 23:27:11.874388,1,301,3360,61984,318.5,198.4,18.9,-15,43,30,0,12.6,96.9,109.7
2026-03-21 23:28:11.874388,1,301,3360,61984,304.6,92.8,11.8,-18,30,31,0,12.7,97.3,108.8
2026-03-20 00:15:56.801388,1,301,3360,61984,298.306,55.814,5.531,-8,1,32,0,0.0,0.0,109.00839694656489
2026-03-20 00:16:56.801388,1,301,3360,61984,249.082,55.878,5.186,-7,0,33,0,0.0,0.0,109.00839694656489
2026-03-20 00:17:56.801388,1,301,3360,61984,210.071,55.932,5.097,-8,0,34,0,0.0,0.0,109.00839694656489
2026-03-20 00:18:56.801388,1,301,3360,61984,228.753,55.953,5.097,-10,0,35,0,0.0,0.0,109.00839694656489
2026-03-20 00:19:56.801388,1,301,3360,61984,210.024,55.978,5.186,-8,0,36,0,0.0,0.0,109.00839694656489
2026-03-20 00:20:56.801388,1,301,3360,61984,227.953,56.002,5.275,-9,0,37,0,0.0,0.0,109.00839694656489
2026-03-20 00:21:56.801388,1,301,3360,61984,273.694,55.999,5.097,-9,0,38,0,0.0,0.0,109.00839694656489
2026-03-20 00:22:56.801388,1,301,3360,61984,197.835,55.997,5.097,-9,0,39,0,0.0,0.0,109.00839694656489
2026-03-20 00:23:56.801388,1,301,3360,61984,256.659,55.976,5.186,-8,0,40,0,0.0,0.0,109.00839694656489
