id,timestamp,id_planta,id_maquina,id_formula,codigo_producto,variable,tipo_alerta,valor_crudo,valor_suavizado,limite_violado,limite_min,limite_max,porcentaje_carga,prescripcion_ia,feedback_operario,timestamp_feedback
1,2026-03-09T21:57:07.393905,001,301,3360,ZB1,presion_vapor,PRESION_BAJA,6.763,6.763,8.0,8.0,25.0,62.0,"Presión de vapor críticamente baja, 6.76 PSI está por debajo del límite mínimo. Presión inferior a 8 PSI indica posible falla en la línea de vapor. Pare alimentación inmediatamente y notifique al supervisor de turno.",,
2,2026-03-09T21:57:07.393905,001,301,3360,ZB1,temp_acond,TEMPERATURA_BAJA,52.606,52.606,80.0,80.0,280.0,62.0,Temperatura del acondicionador fuera de rango mínimo. Verifique porcentaje de vapor disponible. Abra la válvula de vapor para aumentar la temperatura del acondicionador.,,
3,2026-03-09T21:59:49.619548,001,301,3360,ZB1,presion_vapor,PRESION_BAJA,6.763,6.763,8.0,8.0,25.0,62.0,"Presión de vapor críticamente baja, 6.76 PSI contra un mínimo de 8.0 PSI. Riesgo de parada por baja presión en la línea de vapor. Reporte caída de línea y baje la carga inmediatamente.",,
4,2026-03-09T21:59:49.619548,001,301,3360,ZB1,temp_acond,TEMPERATURA_BAJA,52.606,52.606,80.0,80.0,280.0,62.0,Temperatura del acondicionador fuera de rango mínimo aceptable. Verifique el porcentaje de vapor disponible en la línea. Abra la válvula de vapor para aumentar la temperatura del acondicionador hasta alcanzar los 80 grados Celsius.,,
5,2026-03-09T22:11:49.643801,002,304,3346,YA2,temp_acond,TEMPERATURA_BAJA,67.582,69.3468,70.0,70.0,270.0,184.6,Temperatura del acondicionador por debajo del límite mínimo aceptable. La carga actual excede la capacidad nominal en un 184.6%. Reduzca la carga de alimentación inmediatamente. Notifique al supervisor de turno sobre la desviación de temperatura.,,
6,2026-03-09T22:01:28.380299,001,301,3360,ZB1,presion_vapor,PRESION_BAJA,6.763,6.763,8.0,8.0,25.0,62.0,"Presión de vapor críticamente baja, 6.76 PSI, por debajo del límite mínimo de 8.0 PSI. Posible falla en la línea de vapor desde la caldera. Reporte caída de línea inmediatamente y baje la carga de alimentación a 30%.",,
6,2026-03-09T22:17:49.643801,002,304,3346,YA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,74.077,70.1803,70.0,70.0,270.0,178.5,,,
7,2026-03-09T22:01:28.380299,001,301,3360,ZB1,temp_acond,TEMPERATURA_BAJA,52.606,52.606,80.0,80.0,280.0,62.0,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor actual. Abra la válvula de vapor para aumentar la temperatura del acondicionador.,,
8,2026-03-09T22:02:52.130032,001,301,3360,ZB1,presion_vapor,PRESION_BAJA,6.763,6.763,8.0,8.0,25.0,62.0,"Presión de vapor críticamente baja, 6.76 PSI. Riesgo de parada por baja presión en línea. Reporte caída de línea y baje la carga al 20%.",,
9,2026-03-09T22:02:52.130032,001,301,3360,ZB1,temp_acond,TEMPERATURA_BAJA,52.606,52.606,80.0,80.0,280.0,62.0,Temperatura del acondicionador por debajo del límite mínimo. Verifique porcentaje de vapor. Abra la válvula de vapor para aumentar la temperatura del acondicionador.,,
10,2026-03-09T22:05:02.882108,001,301,3360,ZB1,presion_vapor,PRESION_BAJA,6.763,6.763,8.0,8.0,25.0,62.0,"Presión de vapor críticamente baja, 6.76 PSI, fuera de rango mínimo. Riesgo de parada por baja presión en línea de vapor. Reporte caída de línea a caldera y baje la carga inmediatamente.",,
11,2026-03-09T22:05:02.882108,001,301,3360,ZB1,temp_acond,TEMPERATURA_BAJA,52.606,52.606,80.0,80.0,280.0,62.0,"Temperatura del acondicionador fuera de rango mínimo. Corriente del motor en 309.9 Amperios. Abra la válvula de vapor para aumentar la temperatura del acondicionador, monitoreando la corriente del motor.",,
12,2026-03-09T22:08:00.282925,001,301,3360,ZB1,presion_vapor,PRESION_BAJA,6.763,6.763,8.0,8.0,25.0,62.0,"Presión de vapor por debajo del límite mínimo aceptable. Presión actual es de 6.76 PSI, límite inferior es 8.0 PSI. Reporte caída de línea y baje la carga inmediatamente.",,
13,2026-03-09T22:08:00.282925,001,301,3360,ZB1,temp_acond,TEMPERATURA_BAJA,52.606,52.606,80.0,80.0,280.0,62.0,Temperatura del acondicionador fuera de rango mínimo permitido. Verifique porcentaje de vapor y corriente del motor principal. Abra la válvula de vapor y monitoree la corriente del motor.,,
7,2026-03-09T23:40:49.619548,001,304,2140,XB1,temp_acond,TEMPERATURA_BAJA,64.703,64.2711,70.0,70.0,270.0,70.4,Temperatura del acondicionador por debajo del límite mínimo permitido. Verifique porcentaje de vapor actual. Abra la válvula de vapor para aumentar la temperatura del acondicionador.,,
8,2026-03-09T23:53:49.619548,001,304,2140,XB1,temp_acond,RETORNO_NORMAL_TEMPERATURA,71.635,70.3955,70.0,70.0,270.0,103.7,,,
9,2026-03-10T00:09:49.643801,002,303,3346,YA2,presion_vapor,PRESION_ALTA,64.955,64.955,45.0,15.0,45.0,85.0,"La presión de vapor está críticamente alta, superando el límite máximo en 19.95 PSI. La sobrepresión puede dañar la línea de vapor. Cierre inmediatamente la válvula de vapor y notifique al supervisor.",,
14,2026-03-09T22:16:30.729649,001,301,3360,ZB1,presion_vapor,PRESION_BAJA,6.763,6.763,8.0,8.0,25.0,62.0,"Presión de vapor críticamente baja, 6.76 PSI. Riesgo de parada por baja presión en línea. Reporte caída de línea y baje la carga al 25%.",,
15,2026-03-09T22:16:30.729649,001,301,3360,ZB1,temp_acond,TEMPERATURA_BAJA,52.606,52.606,80.0,80.0,280.0,62.0,Temperatura del acondicionador fuera de rango mínimo. Verifique porcentaje de vapor disponible. Abra la válvula de vapor para aumentar la temperatura del acondicionador y alcanzar el mínimo operativo.,,
15,2026-03-09T22:16:43.245362,001,301,3360,ZB1,presion_vapor,PRESION_BAJA,6.763,6.763,8.0,8.0,25.0,62.0,"Presión de vapor críticamente baja, 6.76 PSI, por debajo del límite mínimo de 8.0 PSI. Verifique la línea de vapor y el porcentaje de vaporización. Reporte caída de línea y baje la carga inmediatamente.",,
16,2026-03-09T22:16:43.245362,001,301,3360,ZB1,temp_acond,TEMPERATURA_BAJA,52.606,52.606,80.0,80.0,280.0,62.0,"Temperatura del acondicionador fuera de rango mínimo permitido. Verifique porcentaje de vapor y corriente del motor principal. Abra la válvula de vapor hasta alcanzar la temperatura objetivo, monitoreando la corriente del motor.",,
17,2026-03-09T22:28:43.272243,002,304,3346,YA2,temp_acond,TEMPERATURA_BAJA,67.582,69.3468,70.0,70.0,270.0,184.6,Temperatura del acondicionador por debajo del límite mínimo aceptable. La carga actual excede la capacidad nominal de la peletizadora. Reduzca la carga de alimentación inmediatamente y notifique al supervisor de turno.,,
18,2026-03-09T22:34:43.272243,002,304,3346,YA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,74.077,70.1803,70.0,70.0,270.0,178.5,,,
19,2026-03-06T14:52:03.973770,001,301,3360,ZB1,presion_vapor,PRESION_BAJA,6.763,6.763,8.0,8.0,25.0,62.0,"Presión de vapor por debajo del límite mínimo permitido. Presión actual es 6.76 PSI, límite inferior es 8.0 PSI. Verifique la línea de vapor por posible falla y notifique al supervisor de turno. Baje la carga inmediatamente.",,
20,2026-03-06T14:52:03.973770,001,301,3360,ZB1,temp_acond,TEMPERATURA_BAJA,52.606,52.606,80.0,80.0,280.0,62.0,"Temperatura del acondicionador fuera de rango mínimo permitido. Verifique porcentaje de apertura de la válvula de vapor. Ordene aumentar la apertura de la válvula de vapor hasta alcanzar la temperatura objetivo, monitoreando la corriente del motor principal.",,
21,2026-03-06T16:33:03.973770,001,304,2140,XB1,temp_acond,TEMPERATURA_BAJA,64.703,64.2711,70.0,70.0,270.0,70.4,"Temperatura del acondicionador fuera de rango inferior. La temperatura suavizada es 64.27 grados, por debajo del límite mínimo de 70 grados. Verifique porcentaje de vapor y corriente del motor principal. Aumente el porcentaje de vapor gradualmente, monitoreando la corriente del motor para evitar sobrecarga.",,
22,2026-03-06T16:46:03.973770,001,304,2140,XB1,temp_acond,RETORNO_NORMAL_TEMPERATURA,71.635,70.3955,70.0,70.0,270.0,103.7,,,
23,2026-03-06T17:34:03.973770,001,305,2260,YB1,temp_acond,TEMPERATURA_BAJA,17.452,17.4503,85.0,85.0,285.0,66.9,Temperatura del acondicionador fuera de rango mínimo permitido. Verifique porcentaje de vapor en línea. Abra la válvula de vapor para alcanzar la temperatura mínima requerida.,,
24,2026-03-06T23:44:03.973770,001,304,2140,XB1,temp_acond,TEMPERATURA_BAJA,66.161,69.2168,70.0,70.0,270.0,86.1,Temperatura del acondicionador por debajo del límite mínimo permitido. Verifique porcentaje de vapor en línea. Abra la válvula de vapor para aumentar la temperatura del acondicionador.,,
25,2026-03-06T23:54:03.973770,001,304,2140,XB1,temp_acond,RETORNO_NORMAL_TEMPERATURA,72.62,70.5192,70.0,70.0,270.0,78.1,,,
26,2026-03-07T02:54:03.973770,001,305,2260,YB1,presion_vapor,PRESION_ALTA,23.948,72.4828,45.0,15.0,45.0,76.7,"Presión de vapor excesiva, valor suavizado en 72.48 PSI. La presión supera el límite máximo permitido de 45.0 PSI. Cierre la válvula de vapor inmediatamente y notifique al supervisor de turno.",,
27,2026-03-07T03:00:03.973770,001,305,2260,YB1,presion_vapor,RETORNO_NORMAL_PRESION,24.027,40.6382,45.0,15.0,45.0,72.3,,,
28,2026-03-07T05:10:04.006491,002,304,3346,YA2,temp_acond,TEMPERATURA_BAJA,67.582,69.3468,70.0,70.0,270.0,184.6,Temperatura del acondicionador por debajo del límite inferior aceptable. La carga actual excede la capacidad nominal en un 184.6 por ciento. Reduzca inmediatamente la carga de alimentación y notifique al supervisor de turno.,,
29,2026-03-07T05:16:04.006491,002,304,3346,YA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,74.077,70.1803,70.0,70.0,270.0,178.5,,,
30,2026-03-07T07:08:04.006491,002,303,3346,YA2,presion_vapor,PRESION_ALTA,64.955,64.955,45.0,15.0,45.0,85.0,"Presión de vapor excesiva, valor suavizado en 64.95 PSI. La presión supera el límite máximo permitido de 45.0 PSI. Cierre la válvula de vapor inmediatamente y notifique al supervisor de turno.",,
31,2026-03-07T07:39:04.006491,002,304,3346,YA2,temp_acond,TEMPERATURA_BAJA,65.654,68.7241,70.0,70.0,270.0,92.2,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor actual. Abra la válvula de vapor para alcanzar la temperatura objetivo.,,
32,2026-03-07T08:28:03.973770,001,304,2140,XB1,temp_acond,TEMPERATURA_BAJA,60.725,60.6165,70.0,70.0,270.0,79.0,"Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor actual. Abra la válvula de vapor hasta alcanzar la temperatura objetivo, monitoreando la corriente del motor.",,
33,2026-03-07T08:35:04.006491,002,304,3346,YA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,80.284,70.0886,70.0,70.0,270.0,90.7,,,
34,2026-03-07T10:08:03.973770,001,304,2140,XB1,temp_acond,RETORNO_NORMAL_TEMPERATURA,70.444,70.0679,70.0,70.0,270.0,99.7,,,
35,2026-03-07T10:26:04.006491,002,304,3346,YA2,temp_acond,TEMPERATURA_BAJA,63.977,68.9892,70.0,70.0,270.0,105.8,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor en línea. Abra la válvula de vapor para alcanzar la temperatura objetivo.,,
36,2026-03-07T10:32:04.006491,002,304,3346,YA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,77.769,71.8,70.0,70.0,270.0,155.4,,,
37,2026-03-07T12:49:04.006491,002,304,3352,YB2,temp_acond,RETORNO_NORMAL_TEMPERATURA,79.458,72.5522,70.0,70.0,270.0,191.0,,,
38,2026-03-07T13:47:04.006491,002,304,3352,YB2,temp_acond,TEMPERATURA_BAJA,64.365,68.6529,70.0,70.0,270.0,85.2,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor actual. Abra la válvula de vapor para alcanzar la temperatura objetivo.,,
39,2026-03-07T15:34:04.006491,002,304,3352,YB2,temp_acond,RETORNO_NORMAL_TEMPERATURA,78.545,71.8637,70.0,70.0,270.0,187.3,,,
40,2026-03-07T15:40:04.006491,002,304,3352,YB2,temp_acond,TEMPERATURA_BAJA,65.379,69.5354,70.0,70.0,270.0,124.8,Temperatura del acondicionador por debajo del límite mínimo aceptable. La carga actual excede la capacidad nominal del equipo. Reduzca la carga de alimentación a 150 unidades y abra la válvula de vapor hasta alcanzar la temperatura objetivo.,,
41,2026-03-07T18:39:04.006491,002,304,3352,YB2,temp_acond,TEMPERATURA_BAJA,66.756,69.8526,70.0,70.0,270.0,97.0,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique el porcentaje de vapor actual. Abra la válvula de vapor para compensar la caída térmica.,,
42,2026-03-07T18:49:03.973770,001,305,2260,YB1,presion_vapor,PRESION_ALTA,24.205,52.3042,45.0,15.0,45.0,70.3,"Presión de vapor excediendo el límite máximo permitido. La presión suavizada es 52.30 PSI, superando el límite de 45.0 PSI. Verifique la válvula de entrada de vapor y la línea de suministro. Reduzca inmediatamente la presión de vapor a un valor dentro del rango operativo normal.",,
43,2026-03-07T18:51:03.973770,001,305,2260,YB1,presion_vapor,RETORNO_NORMAL_PRESION,24.125,43.8505,45.0,15.0,45.0,78.1,,,
44,2026-03-07T18:58:04.006491,002,304,3346,YA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,80.284,71.5397,70.0,70.0,270.0,139.3,,,
45,2026-03-07T20:45:03.973770,001,304,2140,XB1,temp_acond,TEMPERATURA_BAJA,67.639,69.9062,70.0,70.0,270.0,83.8,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de apertura de la válvula de vapor. Ordene aumentar el porcentaje de vapor hasta alcanzar los 70 grados Celsius.,,
46,2026-03-07T20:53:03.973770,001,304,2140,XB1,temp_acond,RETORNO_NORMAL_TEMPERATURA,71.511,70.1563,70.0,70.0,270.0,96.3,,,
47,2026-03-07T21:58:04.006491,002,304,3346,YA2,temp_acond,TEMPERATURA_BAJA,65.867,68.8506,70.0,70.0,270.0,97.8,Temperatura del acondicionador por debajo del límite mínimo permitido. Verifique el porcentaje de vapor actual en la línea. Abra la válvula de vapor hasta alcanzar una temperatura estable por encima de 70 grados Celsius.,,
48,2026-03-08T03:15:03.973770,001,305,2260,YB1,presion_vapor,PRESION_ALTA,24.267,47.8279,45.0,15.0,45.0,69.4,La presión de vapor suavizada supera el límite máximo permitido. La línea de vapor presenta una caída abrupta. Reporte caída de línea y baje la carga a 50 unidades.,,
49,2026-03-08T03:17:03.973770,001,305,2260,YB1,presion_vapor,RETORNO_NORMAL_PRESION,24.249,40.7543,45.0,15.0,45.0,69.7,,,
50,2026-03-08T03:53:04.006491,002,304,3352,YB2,temp_acond,RETORNO_NORMAL_TEMPERATURA,85.565,73.4262,70.0,70.0,270.0,164.6,,,
51,2026-03-08T05:02:03.973770,001,302,2260,YB1,presion_vapor,PRESION_BAJA,10.149,6.5447,15.0,15.0,45.0,43.9,"Presión de vapor críticamente baja, 6.54 PSI, fuera de rango. Verifique la línea de vapor desde la caldera por posible caída de presión. Baje la carga de alimentación inmediatamente y notifique al supervisor.",,
52,2026-03-08T05:02:03.973770,001,302,2260,YB1,temp_acond,TEMPERATURA_BAJA,60.015,59.3906,85.0,85.0,285.0,43.9,Temperatura del acondicionador fuera de rango mínimo aceptable. Verifique porcentaje de vapor actual. Abra la válvula de vapor hasta alcanzar 85 grados Celsius.,,
53,2026-03-08T06:12:04.006491,002,304,3352,YB2,temp_acond,TEMPERATURA_BAJA,64.378,69.9264,70.0,70.0,270.0,101.6,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor disponible en la línea. Abra la válvula de vapor para alcanzar los 70 grados Celsius.,,
54,2026-03-08T06:38:04.006491,002,304,3352,YB2,temp_acond,RETORNO_NORMAL_TEMPERATURA,80.66,72.2093,70.0,70.0,270.0,158.9,,,
55,2026-03-08T07:12:03.973770,001,302,2260,YB1,presion_vapor,PRESION_BAJA,6.022,13.8416,15.0,15.0,45.0,61.1,Presión de vapor suavizada por debajo del límite mínimo aceptable. Verifique porcentaje de vapor actual. Abra la válvula de vapor para compensar la caída de presión.,,
56,2026-03-08T08:28:04.006491,002,303,3366,ZA2,temp_acond,TEMPERATURA_BAJA,81.195,74.7975,75.0,75.0,275.0,68.8,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique el porcentaje de vapor actual. Abra la válvula de vapor hasta alcanzar la temperatura objetivo.,,
57,2026-03-08T08:30:04.006491,002,303,3366,ZA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,81.826,76.9061,75.0,75.0,275.0,71.2,,,
58,2026-03-08T08:37:04.006491,002,304,3352,YB2,temp_acond,TEMPERATURA_BAJA,73.051,63.0736,70.0,70.0,270.0,91.6,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique el porcentaje de vapor actual en la línea. Abra la válvula de vapor hasta alcanzar una temperatura estable por encima de 70 grados Celsius.,,
59,2026-03-08T08:41:04.006491,002,304,3352,YB2,temp_acond,RETORNO_NORMAL_TEMPERATURA,79.371,71.1723,70.0,70.0,270.0,157.6,,,
60,2026-03-08T11:41:04.006491,002,304,3346,YA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,82.074,72.128,70.0,70.0,270.0,120.1,,,
61,2026-03-08T12:58:04.006491,002,304,3346,YA2,temp_acond,TEMPERATURA_BAJA,67.744,69.9568,70.0,70.0,270.0,96.6,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor actual. Abra la válvula de vapor para alcanzar la temperatura objetivo.,,
